ID,Date,Time,Frequency,LastDatetime,IntervalTime,Remarks
2,2024-09-11,16:44:36,1,2024-09-09T02:49:03.000Z,3715,测试数据
3,2024-09-14,15:25:38,1,2024-09-11T16:44:36.000Z,4241,测试数据
4,2024-09-15,02:28:03,1,2024-09-14T15:25:38.000Z,662,测试数据
5,2024-09-18,01:28:21,1,2024-09-15T02:28:03.000Z,4260,测试数据
6,2024-09-20,01:47:03,1,2024-09-18T01:28:21.000Z,2898,测试数据
7,2024-09-21,00:52:12,1,2024-09-20T01:47:03.000Z,1385,测试数据
8,2024-09-21,15:20:09,11,2024-09-21T00:52:12.000Z,867,测试数
10,2024-09-25,00:14:45,1,2024-09-21T15:20:09.000Z,4854,测试数据
11,2024-09-26,16:40:30,1,2024-09-25T00:14:45.000Z,2425,测试数据
12,2024-09-29,23:37:34,1,2024-09-26T16:40:30.000Z,4737,测试数据
13,2024-10-02,02:44:14,1,2024-09-29T23:37:34.000Z,3066,测试数据
14,2024-10-04,15:00:05,1,2024-10-02T02:44:14.000Z,3615,测试数据
15,2024-10-06,13:39:11,1,2024-10-04T15:00:05.000Z,2799,测试数据
16,2024-10-09,01:58:53,1,2024-10-06T13:39:11.000Z,3619,测试数据
17,2024-10-10,08:35:37,1,2024-10-09T01:58:53.000Z,2034,测试数据
18,2024-10-11,18:30:15,1,2024-10-10T08:35:37.000Z,2034,测试数据
21,2024-10-20,21:30:17,1,2024-10-11T18:30:15.000Z,13140,测试数据
22,2024-10-22,00:20:42,1,2024-10-20T21:30:17.000Z,1610,测试数据
23,2024-10-24,01:55:36,1,2024-10-22T00:20:42.000Z,2974,测试数据
24,2024-10-25,16:28:27,1,2024-10-24T01:55:36.000Z,2312,测试数据
27,2024-10-26,18:11:55,1,2024-10-25T16:28:27.000Z,1543,测试数据
28,2024-10-27,22:09:07,1,2024-10-26T18:11:55.000Z,1677,测试数据
29,2024-10-31,01:05:54,1,2024-10-27T22:09:07.000Z,4496,测试数
30,2024-11-03,12:34:34,1,2024-10-31T01:05:54.000Z,5008,测试数据
31,2024-11-04,05:49:44,1,2024-11-03T12:34:34.000Z,1035,测试数据
32,2024-11-06,03:48:11,1,2024-11-04T05:49:44.000Z,2758,测试数据
33,2024-11-06,15:13:21,2,2024-11-06T03:48:11.000Z,685,测试数据
34,2024-11-08,23:30:43,1,2024-11-06T15:13:21.000Z,3377,测试数据
35,2024-11-13,12:41:54,1,2024-11-08T23:30:43.000Z,6551,测试数据
36,2024-11-13,15:50:23,2,2024-11-13T12:41:54.000Z,188,测试数据
37,2024-11-14,05:39:46,1,2024-11-13T15:50:23.000Z,820,测试数据
38,2024-11-16,02:41:42,1,2024-11-14T05:39:46.000Z,2701,测试数据
39,2024-11-19,16:53:42,1,2024-11-16T02:41:42.000Z,5172,测试数据
40,2024-11-21,12:54:39,1,2024-11-19T16:53:42.000Z,2640,测试数据
41,2024-11-25,03:49:34,1,2024-11-21T12:54:39.000Z,5214,测试数据
42,2024-12-02,01:02:14,1,2024-11-25T03:49:34.000Z,9912,测试数据
43,2024-12-03,20:24:43,1,2024-12-02T01:02:14.000Z,2602,测试数据
44,2024-12-06,21:08:36,1,2024-12-03T20:24:43.000Z,4363,测试数据
45,2024-12-13,01:05:42,1,2024-12-06T21:08:36.000Z,8877,测试数据
46,2024-12-16,14:59:43,1,2024-12-13T01:05:42.000Z,5154,测试数据
47,2024-12-17,12:07:57,1,2024-12-16T14:59:43.000Z,1268,测试数据
48,2024-12-19,01:59:20,1,2024-12-17T12:07:57.000Z,2271,测试数据
49,2024-12-22,03:06:58,1,2024-12-19T01:59:20.000Z,4387,测试数据
50,2024-12-23,03:51:08,1,2024-12-22T03:06:58.000Z,1484,测试数据
51,2024-12-26,02:53:19,1,2024-12-23T03:51:08.000Z,4262,测试数据
52,2024-12-29,00:01:08,1,2024-12-26T02:53:19.000Z,4147,测试数据
53,2024-12-30,20:29:39,1,2024-12-29T00:01:08.000Z,1428,测试数据
54,2024-12-31,03:12:47,1,2024-12-30T20:29:39.000Z,403,测试数据
56,2025-01-02,05:14:33,1,2024-12-31T03:12:47.000Z,3001,测试数据
57,2025-01-02,05:15:06,2,2025-01-02T05:14:33.000Z,0,测试数据
59,2025-01-05,13:09:38,1,2025-01-02T05:15:06.000Z,4794,测试数据
60,2025-01-07,02:55:09,1,2025-01-05T13:09:38.000Z,2265,测试数据
62,2025-01-12,01:32:03,1,2025-01-07T02:55:09.000Z,7116,测试数据
63,2025-01-14,18:19:08,1,2025-01-12T01:32:03.000Z,3887,测试数据
64,2025-01-15,02:48:17,1,2025-01-14T18:19:08.000Z,509,测试数据
65,2025-01-17,02:57:51,1,2025-01-15T02:48:17.000Z,2889,测试数据
66,2025-01-19,03:07:34,1,2025-01-17T02:57:51.000Z,2889,测试数据
67,2025-01-19,22:20:03,2,2025-01-19T03:07:34.000Z,1152,测试数据
68,2025-01-22,02:27:41,1,2025-01-19T22:20:03.000Z,3127,测试数据
69,2025-01-26,02:08:51,1,2025-01-22T02:27:41.000Z,5741,测试数据
70,2025-01-27,02:59:01,1,2025-01-26T02:08:51.000Z,1490,测试数据
71,2025-01-29,15:45:48,1,2025-01-27T02:59:01.000Z,3646,测试数据
72,2025-01-31,19:27:16,1,2025-01-29T15:45:48.000Z,3101,测试数据
73,2025-02-01,02:15:28,1,2025-01-31T19:27:16.000Z,408,测试数据
74,2025-02-05,03:26:13,1,2025-02-01T02:15:28.000Z,5830,测试数据
75,2025-02-07,03:18:24,1,2025-02-05T03:26:13.000Z,2872,测试数据
76,2025-02-08,01:36:24,1,2025-02-07T03:18:24.000Z,1338,测试数据
77,2025-02-10,03:03:39,1,2025-02-08T01:36:24.000Z,2967,测试数据
78,2025-02-12,02:28:25,1,2025-02-10T03:03:39.000Z,2844,测试数据
79,2025-02-13,19:57:25,1,2025-02-12T02:28:25.000Z,2489,测试数据
80,2025-02-16,04:22:59,1,2025-02-13T19:57:25.000Z,2489,测试数据
81,2025-02-22,03:15:42,1,2025-02-16T04:22:59.000Z,8572,测试数据
82,2025-02-25,17:34:55,1,2025-02-22T03:15:42.000Z,5179,测试数据
83,2025-02-28,04:00:02,1,2025-02-25T17:34:55.000Z,3505,测试数据
84,2025-03-02,00:56:42,1,2025-02-28T04:00:02.000Z,2696,测试数据
85,2025-03-04,03:00:11,1,2025-03-02T00:56:42.000Z,3003,测试数据
86,2025-03-07,02:26:08,1,2025-03-04T03:00:11.000Z,4285,测试数据
87,2025-03-10,14:12:42,1,2025-03-07T02:26:08.000Z,5026,测试数据
88,2025-03-10,22:06:49,2,2025-03-10T14:12:42.000Z,4615,测试数据
89,2025-03-14,03:22:24,1,2025-03-10T22:06:49.000Z,4635,测试数据
90,2025-03-16,04:36:17,1,2025-03-14T03:22:24.000Z,2953,测试数据
91,2025-03-17,03:41:01,1,2025-03-16T04:36:17.000Z,1384,测试数据
